sample_id,user,day,total_logins,avg_login_hour,std_login_hour,device_events,files_accessed,emails_sent,emails_cc,O,C,E,A,N,suspicious_urls,after_hours_ratio,rule_points,label
ABB0427__2010-08-21,ABB0427,2010-08-21,1,5.0,0.0,2,0,0,0,0.4,0.6,0.5,0.6,0.4,0,1.0,2,1
ABB0427__2010-08-27,ABB0427,2010-08-27,1,2.5,2.5,2,0,0,0,0.4,0.6,0.5,0.6,0.4,0,1.0,2,1
CCH0959__2010-08-02,CCH0959,2010-08-02,0,12.75,1.6393596310755,0,0,0,0,0.4,0.6,0.5,0.6,0.4,4,0.0,1,0
CCH0959__2010-08-03,CCH0959,2010-08-03,0,11.4,1.2,0,0,0,0,0.4,0.6,0.5,0.6,0.4,4,0.0,1,0
CCH0959__2010-08-04,CCH0959,2010-08-04,0,14.0,1.1547005383792515,0,0,0,0,0.4,0.6,0.5,0.6,0.4,4,0.0,1,0
CCH0959__2010-08-05,CCH0959,2010-08-05,0,11.0,2.788866755113585,0,0,0,0,0.4,0.6,0.5,0.6,0.4,5,0.3333,2,1
CCH0959__2010-08-06,CCH0959,2010-08-06,0,11.555555555555555,2.4993826398226653,0,0,0,0,0.4,0.6,0.5,0.6,0.4,8,0.2222,1,0
CCH0959__2010-08-09,CCH0959,2010-08-09,0,15.0,0.0,0,0,0,0,0.4,0.6,0.5,0.6,0.4,1,0.0,1,0
CCH0959__2010-08-10,CCH0959,2010-08-10,0,12.4,1.8547236990991407,0,0,0,0,0.4,0.6,0.5,0.6,0.4,2,0.0,1,0
CCH0959__2010-08-11,CCH0959,2010-08-11,0,11.142857142857142,2.5872528966106905,0,0,0,0,0.4,0.6,0.5,0.6,0.4,6,0.1429,1,0
CCH0959__2010-08-12,CCH0959,2010-08-12,0,12.875,2.315032397181517,0,0,0,0,0.4,0.6,0.5,0.6,0.4,5,0.125,1,0
CCH0959__2010-08-13,CCH0959,2010-08-13,0,14.0,0.0,0,0,0,0,0.4,0.6,0.5,0.6,0.4,0,0.0,0,0
CCH0959__2010-08-16,CCH0959,2010-08-16,0,11.666666666666666,1.699673171197595,0,0,0,0,0.4,0.6,0.5,0.6,0.4,2,0.0,1,0
CCH0959__2010-08-17,CCH0959,2010-08-17,0,11.0,1.5,0,0,0,0,0.4,0.6,0.5,0.6,0.4,6,0.0,1,0
CCH0959__2010-08-18,CCH0959,2010-08-18,0,11.0,1.632993161855452,0,0,0,0,0.4,0.6,0.5,0.6,0.4,2,0.0,1,0
CCH0959__2010-08-19,CCH0959,2010-08-19,0,10.833333333333334,1.2133516482134197,0,0,0,0,0.4,0.6,0.5,0.6,0.4,4,0.0,1,0
